Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.9099999999999999,0.01,0.7036572124707886
100% Corpus,5,0.9099999999999999,0.31,0.660093272328856
100% Corpus,5,0.9099999999999999,0.61,0.6978303380456541
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.6745585679626099
100% Corpus,5,0.9099999999999999,symmetric,0.6794843269692079
100% Corpus,5,symmetric,0.01,0.6685248634826204
100% Corpus,5,symmetric,0.31,0.6643292909538447
100% Corpus,5,symmetric,0.61,0.6651755463160487
100% Corpus,5,symmetric,0.9099999999999999,0.6210966755841418
100% Corpus,5,symmetric,symmetric,0.6566318005732834
100% Corpus,5,asymmetric,0.01,0.6964521029396638
100% Corpus,5,asymmetric,0.31,0.7277936929614449
100% Corpus,5,asymmetric,0.61,0.692957697363909
100% Corpus,5,asymmetric,0.9099999999999999,0.6998781636492035
100% Corpus,5,asymmetric,symmetric,0.7225259139435504
100% Corpus,6,0.01,0.01,0.6663017933994683
100% Corpus,6,0.01,0.31,0.6658034032218318
100% Corpus,6,0.01,0.61,0.6606103537309463
100% Corpus,6,0.01,0.9099999999999999,0.6401119380713552
100% Corpus,6,0.01,symmetric,0.6651559254086771
100% Corpus,6,0.31,0.01,0.6633985446499975
100% Corpus,6,0.31,0.31,0.6796178520620954
100% Corpus,6,0.31,0.61,0.6688514442146158
100% Corpus,6,0.31,0.9099999999999999,0.6497390621074737
100% Corpus,6,0.31,symmetric,0.6688214804000254
100% Corpus,6,0.61,0.01,0.6985801626295348
100% Corpus,6,0.61,0.31,0.6959325508554012
100% Corpus,6,0.61,0.61,0.66323014418344
100% Corpus,6,0.61,0.9099999999999999,0.6495765959666976
100% Corpus,6,0.61,symmetric,0.695289903790136
100% Corpus,6,0.9099999999999999,0.01,0.7135662776824611
100% Corpus,6,0.9099999999999999,0.31,0.6446889265036014
100% Corpus,6,0.9099999999999999,0.61,0.6354230212598169
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.6536046476656052
100% Corpus,6,0.9099999999999999,symmetric,0.6561291351236777
100% Corpus,6,symmetric,0.01,0.6616485680225653
100% Corpus,6,symmetric,0.31,0.6694185675994354
100% Corpus,6,symmetric,0.61,0.6366734589726344
100% Corpus,6,symmetric,0.9099999999999999,0.6390729105470839
100% Corpus,6,symmetric,symmetric,0.6715584720094953
100% Corpus,6,asymmetric,0.01,0.7225790271988942
100% Corpus,6,asymmetric,0.31,0.6747183855189972
100% Corpus,6,asymmetric,0.61,0.6305683160115618
100% Corpus,6,asymmetric,0.9099999999999999,0.6688632591513824
100% Corpus,6,asymmetric,symmetric,0.7151696830452995
100% Corpus,7,0.01,0.01,0.6601051649455273
100% Corpus,7,0.01,0.31,0.6690633952787214
100% Corpus,7,0.01,0.61,0.6231323924780289
100% Corpus,7,0.01,0.9099999999999999,0.6136955992693949
100% Corpus,7,0.01,symmetric,0.6404563663216996
100% Corpus,7,0.31,0.01,0.654243103403225
100% Corpus,7,0.31,0.31,0.6492090212582251
100% Corpus,7,0.31,0.61,0.6246567797195851
100% Corpus,7,0.31,0.9099999999999999,0.6259102011830686
100% Corpus,7,0.31,symmetric,0.6537455443110586
100% Corpus,7,0.61,0.01,0.677162820161209
100% Corpus,7,0.61,0.31,0.6667214342500198
100% Corpus,7,0.61,0.61,0.6756558443070393
100% Corpus,7,0.61,0.9099999999999999,0.644729536301438
100% Corpus,7,0.61,symmetric,0.6876652856386587
100% Corpus,7,0.9099999999999999,0.01,0.6657159421678438
100% Corpus,7,0.9099999999999999,0.31,0.6503768885538026
100% Corpus,7,0.9099999999999999,0.61,0.6381443784732389
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.633265161154883
100% Corpus,7,0.9099999999999999,symmetric,0.6492780853415988
100% Corpus,7,symmetric,0.01,0.655918824327107
100% Corpus,7,symmetric,0.31,0.6405432921810819
100% Corpus,7,symmetric,0.61,0.6505873249049474
100% Corpus,7,symmetric,0.9099999999999999,0.6274376726735744
100% Corpus,7,symmetric,symmetric,0.652275991498034
100% Corpus,7,asymmetric,0.01,0.6853429100347884
100% Corpus,7,asymmetric,0.31,0.6979439544746613
100% Corpus,7,asymmetric,0.61,0.6224524082087015
100% Corpus,7,asymmetric,0.9099999999999999,0.6155341417541628
100% Corpus,7,asymmetric,symmetric,0.6584261331456457
100% Corpus,8,0.01,0.01,0.6709481956481947
100% Corpus,8,0.01,0.31,0.6395565991843557
100% Corpus,8,0.01,0.61,0.623945209876601
